time,Computers,Copper,Glass,Oil,Plastic,Rubber,Rupyulars,Steel,Vehicles,Weapons
1587583854,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587583914,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587583974,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584035,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584095,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584155,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584215,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584275,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584335,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584396,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584456,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584516,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584576,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584636,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584696,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584757,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584817,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584877,50.0,5.0,5.0,5.0,5.0,5.0,1,5.0,50.0,50.0
1587584937,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587584997,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585057,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585118,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585178,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585238,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585298,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585358,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585418,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585479,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585539,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585599,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585659,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585719,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585779,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585840,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585900,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587585960,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586020,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586080,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586140,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586201,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586261,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586321,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586381,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586441,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586501,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586561,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586622,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586682,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586742,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586802,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586862,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586923,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587586983,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587587043,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587587103,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587587163,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587587223,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587587284,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587587344,1.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0
1587587404,0.0,5.0067699999999995,5.00913,5.00678,5.00675,5.00821,1,5.00645,0.0,0.0
1587587464,0.0,5.0067699999999995,5.00913,5.00678,5.00675,5.00821,1,5.00645,0.0,0.0
1587587524,0.0,5.0067699999999995,5.00913,5.00678,5.00675,5.00821,1,5.00645,0.0,0.0
